Date,Open,High,Low,Close,Volume
24-Aug-21,41.57,56.25,41.29,52.57,"14,652,209"
25-Aug-21,51.66,56.75,48.25,49.91,"12,861,059"
26-Aug-21,50.17,54.25,49.75,51.31,"6,238,647"
27-Aug-21,51.93,53.25,50.01,51.24,"3,230,804"
30-Aug-21,51.25,54.55,50.76,52.3,"3,309,584"
31-Aug-21,53.18,55.58,52.87,54.56,"3,574,687"
1-Sep-21,56,57.86,52.01,53.24,"4,453,782"
2-Sep-21,53.47,53.7,51.58,53.38,"1,855,618"
3-Sep-21,53.01,54.07,49.71,50.69,"2,664,005"
7-Sep-21,51.56,52.48,49.03,49.75,"2,501,178"
8-Sep-21,50.47,51.72,47.67,49.7,"5,173,566"
9-Sep-21,45.02,50.5,44.5,49.8,"7,511,458"
10-Sep-21,49.6,50.54,47.5,47.6,"3,042,648"
13-Sep-21,48.44,52.22,47.88,50.85,"4,334,068"
14-Sep-21,50.16,51.16,48.75,49.81,"2,141,631"
15-Sep-21,49.25,51.22,48.44,51.13,"2,310,407"
16-Sep-21,50.58,54.14,50.29,51.59,"3,058,217"
17-Sep-21,52.01,53.12,50.2,51.24,"3,950,643"
20-Sep-21,50,50.71,46.14,48.05,"3,941,802"
21-Sep-21,49.84,49.84,46.5,47.49,"2,633,827"
22-Sep-21,47.41,48.38,46.57,47.54,"2,256,593"
23-Sep-21,48.08,48.94,47.65,47.81,"1,682,259"
24-Sep-21,47.75,47.93,46.03,46.29,"1,685,759"
27-Sep-21,46.48,48.01,46.47,47.37,"1,470,146"
28-Sep-21,47,47.7,44.5,44.65,"1,770,493"
29-Sep-21,45.02,46.12,43.65,43.98,"1,899,933"
30-Sep-21,43.75,46.36,41.7,43.87,"3,177,453"
1-Oct-21,44.85,44.87,43.06,44.23,"1,551,139"
4-Oct-21,43.99,44.24,42.69,42.84,"1,195,738"
5-Oct-21,42.8,43.29,41.68,43.05,"1,315,854"
6-Oct-21,42.52,43.24,41.45,42.77,"1,200,320"
7-Oct-21,43,43.8,42.64,43.03,"1,159,326"
8-Oct-21,43.13,43.93,42.78,43.17,"818,207"
11-Oct-21,43.25,47.12,43.25,44.53,"2,684,855"
12-Oct-21,45.13,45.45,43.45,43.96,"1,233,652"
13-Oct-21,44.58,47.05,44,46.02,"1,930,239"
14-Oct-21,45.94,47.55,45.65,45.96,"1,676,008"
15-Oct-21,46,46.75,45.22,45.82,"1,199,977"
18-Oct-21,45.74,47.47,45.64,46.51,"1,589,648"
19-Oct-21,47.25,48.05,46.1,46.7,"2,070,618"
20-Oct-21,46.58,47,45.5,46.13,"2,276,903"
21-Oct-21,46.18,47.67,45.15,45.43,"2,402,368"
22-Oct-21,44.53,44.87,41.95,42.45,"2,800,443"
25-Oct-21,42.36,43.7,41.82,43.49,"1,442,806"
26-Oct-21,43.34,46.25,43.13,44.46,"2,176,749"
27-Oct-21,45,45.77,43.08,43.38,"1,106,998"
28-Oct-21,43.79,45.79,43.75,45.71,"1,696,206"
29-Oct-21,45.7,46.44,44.5,45.88,"2,293,970"
1-Nov-21,45.63,52.14,45.51,50.02,"4,944,203"
2-Nov-21,49.84,52.98,47.92,51.75,"3,882,336"
3-Nov-21,53.5,63.92,52.06,54.58,"11,265,594"
4-Nov-21,55.5,57.24,52.89,54.46,"2,907,976"
5-Nov-21,55.16,55.25,52.25,53.31,"1,810,717"
8-Nov-21,53.13,56.26,53,54.66,"2,157,912"
9-Nov-21,55.5,55.87,51.11,51.65,"1,845,298"
10-Nov-21,50.53,51.85,49.13,49.8,"1,309,389"
11-Nov-21,50,52.02,49.54,51.08,"1,079,401"
12-Nov-21,50.54,51.34,49.47,50.53,"927,991"
15-Nov-21,50.97,52.88,50.42,52.29,"1,466,424"
16-Nov-21,52.26,53.14,50.91,51.8,"1,214,596"
17-Nov-21,51.58,54.43,51.5,52.5,"1,352,714"
18-Nov-21,52.56,53.78,51.88,52.53,"1,005,775"
19-Nov-21,52.29,57.35,52.06,57.2,"3,043,720"
22-Nov-21,57.62,62.41,57.44,61.89,"4,379,604"
23-Nov-21,60.96,63.05,53.14,53.48,"3,351,636"
24-Nov-21,54.31,56,52,52.95,"1,309,388"
26-Nov-21,52.02,52.93,49.8,49.93,"1,235,277"
29-Nov-21,51,51.98,50.24,50.5,"1,108,844"
30-Nov-21,50.03,50.99,47,49.05,"1,723,949"
1-Dec-21,49.85,50.03,44.25,44.96,"2,355,535"
2-Dec-21,46.25,46.86,43.27,45.39,"2,087,100"
3-Dec-21,45.25,45.98,39.76,43.1,"4,096,688"
6-Dec-21,41.5,43.34,40.8,41.78,"2,228,636"
7-Dec-21,43.8,45.5,42.63,44.45,"1,972,395"
8-Dec-21,44.15,45.06,42.99,43.41,"2,611,195"
9-Dec-21,41.75,43.17,37.75,38.94,"5,084,340"
10-Dec-21,39.96,40.58,37,39.75,"4,526,860"
13-Dec-21,40.08,40.22,33.77,34.22,"5,486,201"
14-Dec-21,32.75,37.59,32.38,36.92,"6,512,133"
15-Dec-21,36.87,38,35.28,37.15,"2,765,992"
16-Dec-21,38.23,38.61,35.53,36.15,"2,164,762"
17-Dec-21,35.94,39.64,34.83,38.91,"4,311,620"
20-Dec-21,38.3,39.92,37.42,39.28,"1,828,561"
21-Dec-21,39.27,40.06,38.78,39.53,"1,430,238"
22-Dec-21,39.58,39.79,38.03,38.5,"1,047,154"
23-Dec-21,38.5,38.75,36.51,38.03,"1,055,539"
27-Dec-21,38,38.16,35,37.08,"1,615,449"
28-Dec-21,36.88,39.35,36.6,36.62,"1,334,472"
