Date,Open,High,Low,Close,Volume
23-Dec-20,86.41,87.4,86.25,86.62,"1,033,917"
24-Dec-20,86.75,87.3,86.46,86.94,"346,753"
28-Dec-20,87.58,89.54,87.32,88.8,"1,393,033"
29-Dec-20,89.39,89.62,87.8,87.94,"1,299,395"
30-Dec-20,88.1,88.25,86.28,86.98,"1,306,130"
31-Dec-20,86.77,87.95,86.77,87.59,"1,012,240"
4-Jan-21,87.88,88.03,85.39,86.41,"1,901,855"
5-Jan-21,86.25,87.38,85.9,87.05,"1,145,347"
6-Jan-21,85.13,87.4,84.95,86.76,"2,602,114"
7-Jan-21,87,89.42,86.85,89.36,"2,265,022"
8-Jan-21,89.4,90.49,88.68,90.36,"2,051,002"
11-Jan-21,89.3,89.72,88.03,88.34,"1,209,735"
12-Jan-21,87.7,88.9,86.27,87.33,"1,357,691"
13-Jan-21,86.93,88.25,86.9,87.72,"1,094,131"
14-Jan-21,87.68,88.75,86.67,87.01,"1,179,477"
15-Jan-21,86.91,87.8,86.08,86.81,"1,342,170"
19-Jan-21,87.61,90.46,87.07,89.54,"1,734,614"
20-Jan-21,91.57,95.19,91.28,94.35,"2,490,258"
21-Jan-21,94.9,96.74,94.36,94.56,"2,063,932"
22-Jan-21,94.78,95.55,94.09,95.05,"1,272,232"
25-Jan-21,96.03,96.48,93.38,94.97,"1,927,320"
26-Jan-21,94.44,96.25,94.21,95.86,"1,313,139"
27-Jan-21,94.13,94.5,90.45,91.54,"2,748,292"
28-Jan-21,92.2,94.94,92.13,93.16,"1,773,138"
29-Jan-21,92.31,92.86,90.51,91.79,"1,612,552"
1-Feb-21,92.68,96.12,92.55,95.07,"1,602,182"
2-Feb-21,96.13,97.79,95.72,96.38,"2,273,723"
3-Feb-21,103.65,105.83,100.92,103.5,"4,118,170"
4-Feb-21,103.44,103.93,102.13,103.12,"1,852,329"
5-Feb-21,103.5,105.13,102.97,104.9,"1,535,135"
8-Feb-21,105.3,106.18,103.6,104.65,"1,242,411"
9-Feb-21,103.93,105.26,103.93,104.18,"889,850"
10-Feb-21,104.71,105.42,103.15,104.77,"1,135,464"
11-Feb-21,104.98,105.1,103.87,104.79,"945,650"
12-Feb-21,104.51,105.44,104.16,105.21,"855,865"
16-Feb-21,105.22,107.63,105.22,106.1,"1,133,838"
17-Feb-21,105,106.68,104.95,106.42,"1,070,941"
18-Feb-21,105.52,106.64,105.19,105.86,"1,121,855"
19-Feb-21,105.96,106.53,104.87,105.06,"1,457,612"
